gene_id,baseMean,log2FoldChange,mean_sd,mean_ns,pvalue,t_stat,padj
8038877,8.295111676812102,-0.506818862767572,8.041702245428315,8.548521108195887,9.13020498170428e-12,-7.356355806425847,4.568324916139801e-09
8161373,5.485109520884564,-0.7720125410213292,5.0991032503739,5.871115791395229,7.252911604064568e-11,-6.983491677565992,2.2608071438461396e-08
8161554,5.491409921981276,-0.7608126063421192,5.111003618810217,5.871816225152336,7.56267035607541e-11,-6.97774023754543,2.2608071438461396e-08
8071044,5.337594983621296,-0.6435043007287193,5.015842833256936,5.659347133985655,3.020684533609837e-10,-6.7403113453198875,6.944308822401426e-08
8071051,5.522530031443229,-0.6083796235063552,5.2183402196900515,5.826719843196407,4.198673347460772e-10,-6.691623160313565,8.928478873375331e-08
8013272,5.450228522384368,-0.60777370253067,5.146341671119033,5.754115373649703,1.4021193626661215e-08,-6.062623897441421,1.6392542456086477e-06
8149137,9.821951174168092,-0.9694722440409063,9.33721505214764,10.306687296188546,2.62021724017407e-08,-5.860509441088372,2.4120796364556516e-06
8149126,9.817732772456996,-0.9671913643598433,9.334137090277073,10.301328454636916,2.6314981836218105e-08,-5.85957839200708,2.4120796364556516e-06
8149116,9.813588107433723,-0.9650304683906512,9.331072873238398,10.296103341629049,2.637237317074719e-08,-5.85908277263973,2.4120796364556516e-06
8005225,5.590467582292451,-0.7248492714128547,5.228042946586023,5.952892217998878,3.0325731991752503e-08,-5.898811985997191,2.6869862116859043e-06
8149248,5.59393989349195,-0.5028929337619754,5.342493426610963,5.845386360372938,1.3938045418623158e-07,-5.562569535029925,8.914061227880343e-06
8149109,5.531509313537116,-0.729740836984873,5.166638895044679,5.896379732029552,4.087453036113503e-05,-4.231052200983526,0.0008757651265788779
8093950,6.784765187236991,-0.632626892630828,6.468451740921577,7.101078633552405,4.189124858865767e-05,-4.234165174160173,0.0008945208464377221
8081298,2.591953216474052,-0.5411320321449571,2.3213872004015736,2.8625192325465307,0.0018357195244556592,-3.230702137032101,0.013709069600544195
